Activity and Indicators - NEPAL,,,,,,,
Protection - Child Protection,,Child Protection : Distribution of recreational kits,,,,,
Protection - Child Protection,,Child Protection : Establishment of child friendly spaces,,Number of child friendly space established,,,
Protection - Child Protection,,Child Protection : Messaging on child protection through different media,,,,,
,,,,,,,
Protection - MHPSS,,"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",,,,,
Protection - MHPSS,,Mental Health and Psychosocial Support (MHPSS) : Community sensitization on psychosocial well-being and link to services,,,,,
Protection - MHPSS,,Mental Health and Psychosocial Support (MHPSS) : Capacity building of frontline service providers and community psychosocial workers,,,,,
Protection - MHPSS,,Mental Health and Psychosocial Support (MHPSS) : PSA messaging on MHPSS,,,,,
,,,,,,,
CCCM,,"Site Management, Coordination and Monitoring : Site management support / daily site presence",,# of site management agency or focal point with site presenceCCCM,,,
CCCM,,"Site Management, Coordination and Monitoring : HH profiling, registration and population monitoring",,# of HH profiling exercise undertaken,,,
CCCM,,"Site Management, Coordination and Monitoring : Coordination meeting held with service provider",,# of service Provider Coordination Meetings held,,,
CCCM,,"Site Management, Coordination and Monitoring : Establishment of site management committee",,# site management committee established,,,
CCCM,,"Site Management, Coordination and Monitoring : Facilitation of site-level coordination meetings",,# of site level coordination meetings held,,,
CCCM,,"Site Management, Coordination and Monitoring : Facilitation of site-level coordination meetings",,# of monitoring monitoring visits,,,
CCCM,,"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",,# of monitoring reports produced,,,
CCCM,,"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",,# of updated service maps,,,
CCCM,,Community Engagement and Accountability (CE/AAP) : Community consultations /FGDs,,# of consultations/FGDs organized,,,
CCCM,,Community Engagement and Accountability (CE/AAP) : Information sharing and awareness sessions,,# of sessions organized,,,
CCCM,,Community Engagement and Accountability (CE/AAP) : PSEA awareness sessions,,# of PSEA awareness sessions organized,,,
CCCM,,Community Engagement and Accountability (CE/AAP) : Established and operational information /community hubs,,# of functional information/community hubs/centers,,,
CCCM,,Community Engagement and Accountability (CE/AAP) : Operational Feedback and complaints mechanism,,# of complaints received and referred at site level,,,
CCCM,,Community  Participation : Community Committee Formation,,# of community focal points/committees formed,,,
CCCM,,Community  Participation : Volunteers mobilized for site management activities,,#of volunteers mobilized,,,
CCCM,,Community  Participation : Community-led site improvements,,# of community-led works completed,,,
CCCM,,Community  Participation : Community participation through Cash for work (CfW) modality,,# of community members benefited with CfW modality,,,
CCCM,,Site improvement / Risk reduction : Site planning and layout,,# of site plan developed,,,
CCCM,,Site improvement / Risk reduction : Site planning and layout,,# of consultations held,,,
CCCM,,Site improvement / Risk reduction : Drainage improvement,,# meters of drainage improved,,,
CCCM,,Site improvement / Risk reduction : Drainage improvement,,# meters of access road improved,,,
CCCM,,Site improvement / Risk reduction : Communal infrastructure/public facility repaired,,# of facilities repaired,,,
CCCM,,Site improvement / Risk reduction : Plots developed for shelter support,,# of plots developed,,,
CCCM,,Site improvement / Risk reduction : Debris cleared,,# cubic meters (m³) of debris collected and disposed,,,
CCCM,,Site improvement / Risk reduction : Lighting installation/ maintenance,,# of lights installed/repaired,,,
CCCM,,Site improvement / Risk reduction : Accessibility improvements for persons with disabilities,,# of sites improved for persons with disabilities,,,
CCCM,,Capacity Building : CCCM training to the partners,,# of training completed,,,
CCCM,,Capacity Building : CCCM training to national and local authorities,,# of training completed,,,
CCCM,,Capacity Building : CCCM training to staff and volunteers,,# of training completed,,,
CCCM,,"Site Closure, Durable Solutions and Transition : Sites supported with site closing",,# of sites supported for closure,,,
CCCM,,"Site Closure, Durable Solutions and Transition : Durable solutions and return intention analysis",,# of surveys conducted,,,
CCCM,,"Site Closure, Durable Solutions and Transition : Durable solutions/recovery meetings",,# of meetings conducted,,,
CCCM,,"Site Closure, Durable Solutions and Transition : Relocation support",,# of supports provided,,,
,,,,,,,
Shelter,,"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",,,,,
Shelter,,Emergency Shelter and repair Support,,Number of emergency shelter repaired or rehabilitated,,,
Shelter,,Emergency transitional shelter,,Number of transitional shelter supported,,,
Shelter,,Host Family Assistance,,,,,
,,,,,,,
WASH,,Water tankering,,Number of litres of water,,,
WASH,,"Water stations in communities (large tank setups like 5000 ltrs, 10000 litres)",,Number of water-tanks installed,,,
WASH,,Minor maintenance of water supply system for immediate water supply,,Number of water supply system repaired/rehabilitated,,,
WASH,,Major maintenance of water supply system for immediate water supply maintenance of water supply system for immediate water supply,,Number of water supply system repaired/rehabilitated,,,
WASH,,Maintenance of water supply overhead tanks for immediate water supply,,Number of water supply overhead tanks repaired/rehabilitated,,,
WASH,,Major maintenance of overhead tanks water supply system for medium term,,Number of water supply overhead tanks repaired/rehabilitated,,,
WASH,,Alternate water supply through use of irrigation wells,,Number of alternate water supply source/irrigation wells,,,
WASH,,New deep boreholes and system setups,,Number of new deep boreholes installed,,,
WASH,,"Water storage supplies like HH buckets, tanks",,,,,
WASH,,Tank chlorination,,,,,
WASH,,"HH chlorination supplies (like Piyush, Aquatabs etc.)",,,,,
WASH,,"Promotion and awareness on water conservation, storage and water quality/safety",,,,,
WASH,,General Hygiene promotion,,,,,
WASH,,Water supply in Schools,,Number of schools supported with provision of water supply,,,
WASH,,Water supply in Health care facilities,,Number of healthcare facilities supported with provision of water supply,,,
WASH,,Recharge for medium/ long term support,,,,,
WASH,,Dugwell rehabilitation,,Number of dugwell rehabilitated,,,
