activity,adm3_pcode,ward,individuals_sum,individuals_max,population,affected,sum_pc_population,max_pc_population
Depolyment of Psychiatrist and Pyschologist,NP0328301,2,94,49,5303,1,0.017725815576089005,0.009240052800301716
Depolyment of Psychiatrist and Pyschologist,NP0328301,8,15,15,3873,1,0.0038729666924864447,0.0038729666924864447
Depolyment of Psychiatrist and Pyschologist,NP0328301,9,51,31,7591,1,0.006718482413384271,0.00408378342774338
Depolyment of Psychiatrist and Pyschologist,NP0328301,10,139,50,3433,1,0.0404893678997961,0.014564520827264784
Depolyment of Psychiatrist and Pyschologist,NP0328302,7,186,87,4530,1,0.04105960264900662,0.019205298013245033
Depolyment of Psychiatrist and Pyschologist,NP0328302,8,227,106,2817,1,0.08058217962371317,0.037628682996095134
Depolyment of Psychiatrist and Pyschologist,NP0328402,2,65,39,2750,NA,0.023636363636363636,0.014181818181818183
Depolyment of Psychiatrist and Pyschologist,NP0328402,5,96,55,3095,1,0.031017770597738286,0.017770597738287562
Depolyment of Psychiatrist and Pyschologist,NP0329403,5,11,6,2836,1,0.0038787023977433005,0.0021156558533145277
Depolyment of Psychiatrist and Pyschologist,NP0329404,3,18,18,1665,NA,0.010810810810810811,0.010810810810810811
Depolyment of Psychiatrist and Pyschologist,NP0329404,4,17,17,1032,NA,0.016472868217054265,0.016472868217054265
Depolyment of Psychiatrist and Pyschologist,NP0329404,5,12,11,1940,NA,0.006185567010309278,0.005670103092783505
Depolyment of Psychiatrist and Pyschologist,NP0330409,5,13,13,3788,1,0.0034318901795142554,0.0034318901795142554
Depolyment of Psychiatrist and Pyschologist,NP0330409,6,38,24,4625,1,0.008216216216216217,0.005189189189189189
Depolyment of Psychiatrist and Pyschologist,NP0330410,4,4,4,3222,1,0.0012414649286157666,0.0012414649286157666
Depolyment of Psychiatrist and Pyschologist,NP0330410,6,63,46,2691,1,0.023411371237458192,0.017094017094017096
Distribution of Early Childhood Development (ECD) kits,NP0328301,2,96,96,5303,1,0.01810296058834622,0.01810296058834622
Distribution of Early Childhood Development (ECD) kits,NP0328301,3,302,302,4860,1,0.06213991769547325,0.06213991769547325
Distribution of Early Childhood Development (ECD) kits,NP0329402,2,0,0,558,1,0,0
Distribution of Early Childhood Development (ECD) kits,NP0329402,5,0,0,2518,1,0,0
Distribution of Early Childhood Development (ECD) kits,NP0329403,5,60,30,2836,1,0.021156558533145273,0.010578279266572637
Distribution of Early Childhood Development (ECD) kits,NP0330410,6,33,33,2691,1,0.012263099219620958,0.012263099219620958
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0327101,2,200,100,11542,NA,0.017328019407381736,0.008664009703690868
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0327101,4,96,12,43311,NA,0.002216526979289326,2.770658724111658e-4
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0327101,15,53,50,52668,NA,0.0010063036378825854,9.493430546062125e-4
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,1,2274,253,2951,1,0.7705862419518807,0.0857336496103016
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,2,16217,5000,5303,1,3.0580803318876106,0.9428625306430323
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,3,480,60,4860,1,0.09876543209876543,0.012345679012345678
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,4,1748,1748,7076,1,0.24703222159412097,0.24703222159412097
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,6,0,0,3996,1,0,0
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,7,2282,953,4032,1,0.5659722222222222,0.23635912698412698
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,8,2625,1132,3873,1,0.6777691711851278,0.29227988639297703
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,9,836,350,7591,1,0.11013041759978923,0.04610723224871558
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,10,0,0,3433,1,0,0
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328301,12,480,480,3603,1,0.13322231473771856,0.13322231473771856
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328302,7,392,392,4530,1,0.08653421633554084,0.08653421633554084
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328302,8,313,313,2817,1,0.1111111111111111,0.1111111111111111
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328402,3,2700,2700,3105,NA,0.8695652173913043,0.8695652173913043
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328402,5,1593,1200,3095,1,0.5147011308562197,0.3877221324717286
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328403,2,676,676,2020,1,0.3346534653465347,0.3346534653465347
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328403,4,793,732,2157,1,0.3676402410755679,0.33936022253129344
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0328403,7,0,0,NA,NA,NA,NA
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0329401,3,2328,2328,1353,NA,1.7206208425720622,1.7206208425720622
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0329401,5,1200,1200,1704,1,0.704225352112676,0.704225352112676
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0329402,1,0,0,822,1,0,0
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0329402,3,0,0,495,1,0,0
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0329403,5,1264,1200,2836,1,0.44569816643159377,0.4231311706629055
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0330409,5,498,498,3788,1,0.13146779303062303,0.13146779303062303
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0330410,4,1267,1267,3222,1,0.3932340161390441,0.3932340161390441
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0330410,6,1368,1368,2691,1,0.5083612040133779,0.5083612040133779
Distribution of critical WASH supplies (including hygiene kits) to affected households,NP0330410,8,150,150,2964,1,0.05060728744939271,0.05060728744939271
Distribution of in-kind Food Relief Packages,NP0327101,2,500,100,11542,NA,0.04332004851845434,0.008664009703690868
Distribution of in-kind Food Relief Packages,NP0327101,4,120,12,43311,NA,0.0027706587241116574,2.770658724111658e-4
Distribution of in-kind Food Relief Packages,NP0327101,15,200,50,52668,NA,0.00379737221842485,9.493430546062125e-4
Distribution of in-kind Food Relief Packages,NP0328301,1,2024,253,2951,1,0.6858691968824128,0.0857336496103016
Distribution of in-kind Food Relief Packages,NP0328301,3,1047,507,4860,1,0.2154320987654321,0.10432098765432099
Distribution of in-kind Food Relief Packages,NP0328301,7,900,900,4032,1,0.22321428571428573,0.22321428571428573
Distribution of in-kind Food Relief Packages,NP0328301,8,0,0,3873,1,0,0
Distribution of in-kind Food Relief Packages,NP0328301,12,480,480,3603,1,0.13322231473771856,0.13322231473771856
Distribution of in-kind Food Relief Packages,NP0328302,7,2161,1665,4530,1,0.4770419426048565,0.3675496688741722
Distribution of in-kind Food Relief Packages,NP0328402,3,270,270,3105,NA,0.08695652173913043,0.08695652173913043
Distribution of in-kind Food Relief Packages,NP0328402,5,1236,1200,3095,1,0.3993537964458804,0.3877221324717286
Distribution of in-kind Food Relief Packages,NP0328403,2,676,676,2020,1,0.3346534653465347,0.3346534653465347
Distribution of in-kind Food Relief Packages,NP0328403,3,0,0,2553,NA,0,0
Distribution of in-kind Food Relief Packages,NP0328403,4,732,732,2157,1,0.33936022253129344,0.33936022253129344
Distribution of in-kind Food Relief Packages,NP0329401,3,2328,2328,1353,NA,1.7206208425720622,1.7206208425720622
Distribution of in-kind Food Relief Packages,NP0329401,5,1200,1200,1704,1,0.704225352112676,0.704225352112676
Distribution of in-kind Food Relief Packages,NP0329402,2,0,0,558,1,0,0
Distribution of in-kind Food Relief Packages,NP0329402,5,546,546,2518,1,0.21683876092136617,0.21683876092136617
Distribution of in-kind Food Relief Packages,NP0329402,6,420,420,3099,1,0.1355275895450145,0.1355275895450145
Distribution of in-kind Food Relief Packages,NP0329403,1,796,796,1165,1,0.6832618025751073,0.6832618025751073
Distribution of in-kind Food Relief Packages,NP0329403,2,385,385,1233,1,0.3122465531224655,0.3122465531224655
Distribution of in-kind Food Relief Packages,NP0329403,3,0,0,1080,1,0,0
Distribution of in-kind Food Relief Packages,NP0329403,4,0,0,1986,1,0,0
Distribution of in-kind Food Relief Packages,NP0329403,5,3316,1200,2836,1,1.1692524682651622,0.4231311706629055
Distribution of in-kind Food Relief Packages,NP0330409,5,175,175,3788,1,0.046198521647307283,0.046198521647307283
