activity,adm3_pcode,ward,individuals_sum,individuals_max,population,affected,sum_pc_population,max_pc_population
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0327101,15,367,314,52668,NA,0.0069681780208096,0.005961874382927015
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,1,34,34,2951,1,0.011521518129447645,0.011521518129447645
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,2,680,266,5303,1,0.12822930416745237,0.050160286630209314
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,3,168,105,4860,1,0.0345679012345679,0.021604938271604937
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,4,172,153,7076,1,0.02430751837196156,0.021622385528547203
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,5,35,35,6280,1,0.005573248407643312,0.005573248407643312
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,6,0,0,3996,1,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,7,44,10,4032,1,0.010912698412698412,0.00248015873015873
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,8,956,420,3873,1,0.24683707720113607,0.10844306738962045
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,9,650,133,7591,1,0.08562771703332894,0.01752074825451192
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328301,10,151,92,3433,1,0.043984852898339644,0.026798718322167202
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328302,3,50,50,2943,NA,0.016989466530750934,0.016989466530750934
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328302,5,0,0,3160,1,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328302,7,347,134,4530,1,0.07660044150110375,0.029580573951434878
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328302,8,211,60,2817,1,0.07490237841675541,0.021299254526091587
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328402,2,26,26,2750,NA,0.009454545454545455,0.009454545454545455
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328402,4,39,39,1739,NA,0.022426682001150087,0.022426682001150087
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328402,5,218,117,3095,1,0.0704361873990307,0.037802907915993535
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0328403,2,0,0,2020,1,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329401,1,22,11,1455,1,0.015120274914089347,0.007560137457044674
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329402,2,24,24,558,1,0.043010752688172046,0.043010752688172046
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329402,3,67,67,495,1,0.13535353535353536,0.13535353535353536
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329402,5,165,67,2518,1,0.06552819698173153,0.02660841938046068
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329402,6,222,88,3099,1,0.07163601161665054,0.02839625685705066
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329403,2,22,18,1233,1,0.017842660178426603,0.014598540145985401
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329403,3,0,0,1080,1,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329403,4,10,10,1986,1,0.005035246727089627,0.005035246727089627
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329403,5,483,67,2836,1,0.17031029619181948,0.02362482369534556
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329404,2,13,13,2899,NA,0.004484304932735426,0.004484304932735426
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329404,3,277,230,1665,NA,0.16636636636636637,0.13813813813813813
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329404,4,17,17,1032,NA,0.016472868217054265,0.016472868217054265
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329404,5,11,11,1940,NA,0.005670103092783505,0.005670103092783505
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0329404,6,3,3,NA,NA,NA,NA
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330407,3,0,0,2337,0,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330407,4,0,0,2401,0,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330407,7,0,0,3731,1,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330408,5,118,118,3049,1,0.03870121351262709,0.03870121351262709
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330408,9,0,0,3438,1,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330409,1,0,0,5214,0,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330409,3,24,17,2008,NA,0.01195219123505976,0.00846613545816733
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330409,5,99,70,3788,1,0.02613516367476241,0.018479408658922915
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330409,6,24,24,4625,1,0.005189189189189189,0.005189189189189189
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330410,1,0,0,3372,1,0,0
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330410,2,29,29,2787,1,0.010405453893074991,0.010405453893074991
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330410,4,51,19,3222,1,0.015828677839851025,0.005896958410924891
"Mental Health and Psychosocial Support (MHPSS) : Provision of psychosocial support (psychological first aid, one to one and group counselling) to affected people",NP0330410,6,137,55,2691,1,0.05091044221479004,0.020438498699368264
Minor maintenance of water supply system for immediate water supply,NP0328301,1,131.1,65.55,2951,1,0.04442561843442901,0.022212809217214503
Minor maintenance of water supply system for immediate water supply,NP0328301,2,0,0,5303,1,0,0
Minor maintenance of water supply system for immediate water supply,NP0328301,6,197,197,3996,1,0.0492992992992993,0.0492992992992993
Minor maintenance of water supply system for immediate water supply,NP0329403,5,156,125,2836,1,0.05500705218617771,0.044076163610719324
Minor maintenance of water supply system for immediate water supply,NP0330409,6,0,0,4625,1,0,0
Minor maintenance of water supply system for immediate water supply,NP0330410,5,1044,882,2988,NA,0.3493975903614458,0.29518072289156627
Multi-purpose cash transfer to affected households,NP0328301,10,0,0,3433,1,0,0
Multi-purpose cash transfer to affected households,NP0329402,2,0,0,558,1,0,0
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328301,1,1650.7,460,2951,1,0.5593697051846832,0.1558793629278211
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328301,2,1430,1338,5303,1,0.2696586837639072,0.25231001320007546
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328301,3,1201,386,4860,1,0.247119341563786,0.0794238683127572
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328301,4,893,874,7076,1,0.12620124364047486,0.12351611079706049
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328301,5,2027,982,6280,1,0.3227707006369427,0.15636942675159235
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328301,7,1682,953,4032,1,0.41716269841269843,0.23635912698412698
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328301,9,1592.25,625,7591,1,0.2097549729943354,0.08233434330127783
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328301,10,699,437,3433,1,0.20361200116516168,0.1272939120302942
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328302,7,392,392,4530,1,0.08653421633554084,0.08653421633554084
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328302,8,413,313,2817,1,0.14660986865459708,0.1111111111111111
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328402,5,1260,874,3095,1,0.407108239095315,0.2823909531502423
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328403,2,183,183,2020,1,0.09059405940594059,0.09059405940594059
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328403,4,231,231,2157,1,0.1070931849791377,0.1070931849791377
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0328404,3,230,230,2531,NA,0.09087317265902806,0.09087317265902806
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0329402,2,0,0,558,1,0,0
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0329402,5,0,0,2518,1,0,0
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0329403,1,16,16,1165,1,0.013733905579399141,0.013733905579399141
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0329403,2,345,345,1233,1,0.2798053527980535,0.2798053527980535
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0329403,4,400,400,1986,1,0.2014098690835851,0.2014098690835851
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0329403,5,907,400,2836,1,0.3198166431593794,0.14104372355430184
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0329404,1,17,17,2493,1,0.00681909346169274,0.00681909346169274
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0330409,5,184,184,3788,1,0.048574445617740235,0.048574445617740235
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0330409,6,350,175,4625,1,0.07567567567567568,0.03783783783783784
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0330410,6,221,113,2691,1,0.0821256038647343,0.041991824600520256
"NFI Distribution (Mosquito net, baskets, bedsheets, mattress, Tarpaulins )",NP0330410,8,649,349,2964,1,0.21896086369770582,0.11774628879892038
Other,NP0328301,3,0,0,4860,1,0,0
Other,NP0330409,6,0,0,4625,1,0,0
Printing and distribution of Behaviour Change Communication (BCC) materials,NP0328301,3,0,0,4860,1,0,0
Procurement and Supply Chain coordination,NP0329402,6,0,0,3099,1,0,0
"Promotion and awareness on water conservation, storage and water quality/safety",NP0329403,4,86,86,1986,1,0.0433031218529708,0.0433031218529708
"Promotion and awareness on water conservation, storage and water quality/safety",NP0329404,2,103,103,2899,NA,0.03552949292859607,0.03552949292859607
Provide psychosocial support to service providers ensuring caring for carers,NP0328301,2,21,21,5303,1,0.003960022628700735,0.003960022628700735
Provide psychosocial support to service providers ensuring caring for carers,NP0328301,9,20,20,7591,1,0.0026346989856408905,0.0026346989856408905
Provide psychosocial support to service providers ensuring caring for carers,NP0328301,12,20,20,3603,1,0.005550929780738274,0.005550929780738274
Provide psychosocial support to service providers ensuring caring for carers,NP0328302,7,30,30,4530,1,0.006622516556291391,0.006622516556291391
Provide targeted MHPSS in schools for students (children/adolescent),NP0328301,1,25,25,2951,1,0.008471704506946797,0.008471704506946797
Provide targeted MHPSS in schools for students (children/adolescent),NP0328301,3,30,30,4860,1,0.006172839506172839,0.006172839506172839
Provide targeted MHPSS in schools for students (children/adolescent),NP0328301,4,93,93,7076,1,0.013143018654607123,0.013143018654607123
Provide targeted MHPSS in schools for students (children/adolescent),NP0328301,9,23,23,7591,1,0.003029903833487024,0.003029903833487024
Provide targeted MHPSS in schools for students (children/adolescent),NP0329403,5,0,0,2836,1,0,0
Provide targeted MHPSS in schools for students (children/adolescent),NP0330408,5,133,133,3049,1,0.04362085929813053,0.04362085929813053
Provide targeted MHPSS in schools for students (children/adolescent),NP0330408,7,52,52,2886,1,0.018018018018018018,0.018018018018018018
Provide targeted MHPSS in schools for students (children/adolescent),NP0330410,6,218,134,2691,1,0.08101077666295058,0.04979561501300632
"Provide the assistive devices, medical rehabilitation  and referral support  to the  Person with disabilities",NP0328301,3,0,0,4860,1,0,0
"Provision of essential and life-saving sexual and reproductive health medications, commodities and supplies for women of reproductive age group and adolescents",NP0329402,1,0,0,822,1,0,0
"Provision of essential and life-saving sexual and reproductive health medications, commodities and supplies for women of reproductive age group and adolescents",NP0330409,1,0,0,5214,0,0,0
"Provision of essential medicines, supplies and devices",NP0327101,4,24,12,43311,NA,5.541317448223315e-4,2.770658724111658e-4
"Provision of essential medicines, supplies and devices",NP0328301,1,506,253,2951,1,0.1714672992206032,0.0857336496103016
"Provision of essential medicines, supplies and devices",NP0328301,3,320,200,4860,1,0.06584362139917696,0.0411522633744856
"Provision of essential medicines, supplies and devices",NP0329403,5,0,0,2836,1,0,0
Provision of ready to eat or cooked meals to affected people,NP0328301,2,2300,240,5303,1,0.43371676409579485,0.04525740147086555
Provision of ready to eat or cooked meals to affected people,NP0328301,5,113,113,6280,1,0.017993630573248407,0.017993630573248407
Provision of ready to eat or cooked meals to affected people,NP0329403,5,1998,874,2836,1,0.7045133991537377,0.3081805359661495
"Site Management Support benefiting affected individuals through coordination, service monitoring, and community engagement",NP0328301,3,0,0,4860,1,0,0
"Site Management Support benefiting affected individuals through coordination, service monitoring, and community engagement",NP0328301,5,1117,407,6280,1,0.17786624203821655,0.06480891719745223
"Site Management Support benefiting affected individuals through coordination, service monitoring, and community engagement",NP0328301,9,0,0,7591,1,0,0
"Site Management Support benefiting affected individuals through coordination, service monitoring, and community engagement",NP0328402,9,0,0,NA,NA,NA,NA
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0328301,2,0,0,5303,1,0,0
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0329403,2,0,0,1233,1,0,0
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0329403,3,0,0,1080,1,0,0
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0329403,5,0,0,2836,1,0,0
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0329404,2,0,0,2899,NA,0,0
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0330409,1,0,0,5214,0,0,0
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0330409,2,0,0,4076,1,0,0
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0330409,5,0,0,3788,1,0,0
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0330409,6,0,0,4625,1,0,0
"Site Management, Coordination and Monitoring : Site level service mapping and gap identification",NP0330410,4,0,0,3222,1,0,0
"Site Management, Coordination and Monitoring : Site management support / daily site presence",NP0329403,5,344,290,2836,1,0.12129760225669958,0.10225669957686882
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328301,1,0,0,2951,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328301,2,0,0,5303,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328301,3,0,0,4860,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328301,4,0,0,7076,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328301,5,0,0,6280,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328301,6,0,0,3996,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328301,7,0,0,4032,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328301,9,0,0,7591,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328301,10,0,0,3433,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328302,7,0,0,4530,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328302,8,0,0,2817,1,0,0
"Site Management, Coordination and Monitoring : Site-level service monitoring and gap identification",NP0328402,5,0,0,3095,1,0,0
Support for teacher training on psychosocial support and learning recovery,NP0330407,4,19,19,2401,0,0.007913369429404415,0.007913369429404415
Support for teacher training on psychosocial support and learning recovery,NP0330408,5,27,27,3049,1,0.0088553624139062,0.0088553624139062
Support for teacher training on psychosocial support and learning recovery,NP0330408,7,8,8,2886,1,0.002772002772002772,0.002772002772002772
Support for teacher training on psychosocial support and learning recovery,NP0330408,9,18,18,3438,1,0.005235602094240838,0.005235602094240838
Support for teacher training on psychosocial support and learning recovery,NP0330410,4,59,32,3222,1,0.01831160769708256,0.009931719428926133
Support for teacher training on psychosocial support and learning recovery,NP0330410,6,4,4,2691,1,0.0014864362690449647,0.0014864362690449647
Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),NP0328301,1,775,349,2951,1,0.2626228397153507,0.1182649949169773
Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),NP0328301,2,117,68,5303,1,0.022062983217046955,0.012822930416745239
Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),NP0328301,5,200,200,6280,1,0.03184713375796178,0.03184713375796178
Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),NP0328301,10,45,45,3433,1,0.013108068744538305,0.013108068744538305
Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),NP0328403,4,0,0,2157,1,0,0
Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),NP0330407,4,14,14,2401,0,0.0058309037900874635,0.0058309037900874635
Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),NP0330408,7,127,127,2886,1,0.044005544005544,0.044005544005544
Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),NP0330408,9,45,45,3438,1,0.013089005235602094,0.013089005235602094
Support to Temporary Learning Centers (Type -1) and Transitional learning centers (Type-2),NP0330410,6,27,27,2691,1,0.010033444816053512,0.010033444816053512
Temporary Toilets,NP0328301,1,32,32,2951,1,0.010843781768891902,0.010843781768891902
Temporary Toilets,NP0328301,2,871,700,5303,1,0.1642466528380162,0.1320007542900245
Temporary Toilets,NP0328301,5,191,191,6280,1,0.030414012738853503,0.030414012738853503
"Water stations in communities (large tank setups like 5000 ltrs, 10000 litres)",NP0328301,2,21,21,5303,1,0.003960022628700735,0.003960022628700735
"Water stations in communities (large tank setups like 5000 ltrs, 10000 litres)",NP0328301,4,1311,1311,7076,1,0.18527416619559073,0.18527416619559073
"Water stations in communities (large tank setups like 5000 ltrs, 10000 litres)",NP0328301,5,162,162,6280,1,0.025796178343949046,0.025796178343949046
"Water stations in communities (large tank setups like 5000 ltrs, 10000 litres)",NP0328301,6,1368,1368,3996,1,0.34234234234234234,0.34234234234234234
"Water stations in communities (large tank setups like 5000 ltrs, 10000 litres)",NP0330410,5,717,717,2988,NA,0.2399598393574297,0.2399598393574297
"Water storage supplies like HH buckets, tanks",NP0328301,1,218.5,218.5,2951,1,0.074042697390715,0.074042697390715
"Water storage supplies like HH buckets, tanks",NP0328301,3,60,60,4860,1,0.012345679012345678,0.012345679012345678
"Water storage supplies like HH buckets, tanks",NP0328301,4,61,61,7076,1,0.008620689655172414,0.008620689655172414
"Water storage supplies like HH buckets, tanks",NP0329403,5,415,415,2836,1,0.14633286318758815,0.14633286318758815
"Water storage supplies like HH buckets, tanks",NP0330409,5,245,245,3788,1,0.0646779303062302,0.0646779303062302
"Water storage supplies like HH buckets, tanks",NP0330409,6,66,66,4625,1,0.01427027027027027,0.01427027027027027
"Water storage supplies like HH buckets, tanks",NP0330410,2,3199,3199,2787,1,1.1478292070326517,1.1478292070326517
"Water storage supplies like HH buckets, tanks",NP0330410,4,2700,2700,3222,1,0.8379888268156425,0.8379888268156425
Water tankering,NP0328301,2,286,286,5303,1,0.05393173675278144,0.05393173675278144
Water tankering,NP0328301,5,190,190,6280,1,0.030254777070063694,0.030254777070063694
Water tankering,NP0330409,6,175,175,4625,1,0.03783783783783784,0.03783783783783784
